equipment;address;start_bit;n_bit;type;var_name;mult;func;up_addr;alarm;;;;;;;;;;;
Inversor;5048;15;16;U16;Nominal reactive power;0.1;5;0;0;;;;5049;;;;;;;
Inversor;5070;15;16;U16;Array insulation resistance;1;5;0;0;;;;5071;;;;;;;
Inversor;5076;31;32;U32;Active PowerRegulation Setpoint;1;5;0;0;;;;5077;;;;;;;
Inversor;5078;31;32;S32;Reactive Power Regulation Setpoint;1;5;0;0;;;;5079;;;;;;;
Inversor;5080;31;32;U32;Work state;1;5;0;0;;;;5081;;;;;;;
Inversor;5082;31;32;S32;Meter power ;1;5;0;0;;;;5083;;;;;;;
Inversor;5084;31;32;S32;Meter A phase power;1;5;0;0;;;;5085;;;;;;;
Inversor;5086;31;32;S32;Meter B phase power;1;5;0;0;;;;5087;;;;;;;
Inversor;5088;31;32;S32;Meter C phase power;1;5;0;0;;;;5089;;;;;;;
Inversor;5090;31;32;S32;Load power;1;5;0;0;;;;5091;;;;;;;
Inversor;5092;31;32;U32;Daily export energy;0.1;5;0;0;;;;5093;;;;;;;
Inversor;5094;31;32;U32;Total export energy;0.1;5;0;0;;;;5095;;;;;;;
Inversor;5096;31;32;U32;Daily import energy;0.1;5;0;0;;;;5097;;;;;;;
Inversor;5098;31;32;U32;Total import energy;0.1;5;0;0;;;;5099;;;;;;;
Inversor;5100;31;32;U32;Daily direct energy consumption;0.1;5;0;0;;;;5101;;;;;;;
Inversor;5102;31;32;U32;Total direct energy consumption;0.1;5;0;0;;;;5103;;;;;;;
Inversor;5112;15;16;U16;Daily running time;1;5;0;0;;;;5113;;;;;;;
Inversor;5113;15;16;U16;Present country;1;5;0;0;;;;5114;;;;;;;
Inversor;5114;15;16;U16;MPPT 4 voltage;0.1;5;0;0;;;;5115;;;;;;;
Inversor;5115;15;16;U16;MPPT 4 current;0.1;5;0;0;;;;5116;;;;;;;
Inversor;5116;15;16;U16;MPPT 5 voltage;0.1;5;0;0;;;;5117;;;;;;;
Inversor;5117;15;16;U16;MPPT 5 current;0.1;5;0;0;;;;5118;;;;;;;
Inversor;5118;15;16;U16;MPPT 6 voltage;0.1;5;0;0;;;;5119;;;;;;;
Inversor;5119;15;16;U16;MPPT 6 current;0.1;5;0;0;;;;5120;;;;;;;
Inversor;5120;15;16;U16;MPPT 7 voltage;0.1;5;0;0;;;;5121;;;;;;;
Inversor;5121;15;16;U16;MPPT 7current;0.1;5;0;0;;;;5122;;;;;;;
Inversor;5122;15;16;U16;MPPT 8voltage;0.1;5;0;0;;;;5123;;;;;;;
Inversor;5123;15;16;U16;MPPT 8 current;0.1;5;0;0;;;;5124;;;;;;;
Inversor;5127;31;32;U32;Monthly power yields;0.1;5;0;0;;;;5128;;;;;;;
Inversor;5129;15;16;U16;MPPT 9 voltage;0.1;5;0;0;;;;5130;;;;;;;
Inversor;5130;15;16;U16;MPPT 9 current;0.1;5;0;0;;;;5131;;;;;;;
Inversor;5131;15;16;U16;MPPT 10 voltage;0.1;5;0;0;;;;5132;;;;;;;
Inversor;5132;15;16;U16;MPPT 10 current;0.1;5;0;0;;;;5133;;;;;;;
Inversor;5133;15;16;U16;MPPT 11 voltage;0.1;5;0;0;;;;5134;;;;;;;
Inversor;5134;15;16;U16;MPPT 11 current;0.1;5;0;0;;;;5135;;;;;;;
Inversor;5135;15;16;U16;MPPT 12 voltage;0.1;5;0;0;;;;5136;;;;;;;
Inversor;5136;15;16;U16;MPPT 12 current;0.1;5;0;0;;;;5137;;;;;;;
Inversor;5139;15;16;U16;Work status1;1;5;0;0;;;;5140;;;;;;;
Inversor;5140;15;16;U16;Work status2;1;5;0;0;;;;5141;;;;;;;
Inversor;5142;15;16;U16;Heart Beat;1;5;0;0;;;;5143;;;;;;;
Inversor;5143;31;32;U32;Total power yields;0.1;5;0;0;;;;5144;;;;;;;
Inversor;5145;31;32;S16;Negative voltage to the ground;0.1;5;0;0;;;;5146;;;;;;;
Inversor;5146;15;16;U16;Bus voltage;0.1;5;0;0;;;;5147;;;;;;;
Inversor;5147;15;16;U16;Grid frequency;0.01;5;0;0;;;;5148;;;;;;;
Inversor;5149;15;16;U16;PID work state;1;5;0;0;;;;5150;;;;;;;
Inversor;5150;15;16;U16;PID alarm code;1;5;0;0;;;;5151;;;;;;;
Inversor;5185;15;16;U16;MPPT 13 voltage;0.1;5;0;0;;;;5186;;;;;;;
Inversor;5186;15;16;U16;MPPT 13 current;0.1;5;0;0;;;;5187;;;;;;;
Inversor;5187;15;16;U16;MPPT 14 voltage;0.1;5;0;0;;;;5188;;;;;;;
Inversor;5188;15;16;U16;MPPT 14 current;0.1;5;0;0;;;;5189;;;;;;;
Inversor;5189;15;16;U16;MPPT 15 voltage;0.1;5;0;0;;;;5190;;;;;;;
Inversor;5190;15;16;U16;MPPT 16 current;0.1;5;0;0;;;;5191;;;;;;;
Inversor;5191;15;16;U16;MPPT 16 voltage;0.1;5;0;0;;;;5192;;;;;;;
Inversor;5192;15;16;U16;MPPT 16 current;0.1;5;0;0;;;;5193;;;;;;;
Inversor;7012;15;16;U16;String 1 current;0.01;5;0;0;;;;7013;;;;;;;
Inversor;7013;15;16;U16;String 2 current;0.01;5;0;0;;;;7014;;;;;;;
Inversor;7014;15;16;U16;String 3 current;0.01;5;0;0;;;;7015;;;;;;;
Inversor;7015;15;16;U16;String 4 current;0.01;5;0;0;;;;7016;;;;;;;
Inversor;7016;15;16;U16;String 5 current;0.01;5;0;0;;;;7017;;;;;;;
Inversor;7017;15;16;U16;String 6 current;0.01;5;0;0;;;;7018;;;;;;;
Inversor;7018;15;16;U16;String 7 current;0.01;5;0;0;;;;7019;;;;;;;
Inversor;7019;15;16;U16;String 8 current;0.01;5;0;0;;;;7020;;;;;;;
Inversor;7020;15;16;U16;String 9 current;0.01;5;0;0;;;;7021;;;;;;;
Inversor;7021;15;16;U16;String 10 current;0.01;5;0;0;;;;7022;;;;;;;
Inversor;7022;15;16;U16;String 11 current;0.01;5;0;0;;;;7023;;;;;;;
Inversor;7023;15;16;U16;String 12 current;0.01;5;0;0;;;;7024;;;;;;;
Inversor;7024;15;16;U16;String 13 current;0.01;5;0;0;;;;7025;;;;;;;
Inversor;7025;15;16;U16;String 14 current;0.01;5;0;0;;;;7026;;;;;;;
Inversor;7026;15;16;U16;String 15 current;0.01;5;0;0;;;;7027;;;;;;;
Inversor;7027;15;16;U16;String 16 current;0.01;5;0;0;;;;7028;;;;;;;
Inversor;7028;15;16;U16;String 17 current;0.01;5;0;0;;;;7029;;;;;;;
Inversor;7029;15;16;U16;String 18 current;0.01;5;0;0;;;;7030;;;;;;;
Inversor;7030;15;16;U16;String 19 current;0.01;5;0;0;;;;7031;;;;;;;
Inversor;7031;15;16;U16;String 20 current;0.01;5;0;0;;;;7032;;;;;;;
Inversor;7032;15;16;U16;String 21 current;0.01;5;0;0;;;;7033;;;;;;;
Inversor;7033;15;16;U16;String 22 current;0.01;5;0;0;;;;7034;;;;;;;
Inversor;7034;15;16;U16;String 23 current;0.01;5;0;0;;;;7035;;;;;;;
Inversor;7035;15;16;U16;String 24 current;0.01;5;0;0;;;;7036;;;;;;;
Inversor;7036;15;16;U16;String 25 current;0.01;5;0;0;;;;7037;;;;;;;
Inversor;7037;15;16;U16;String 26 current;0.01;5;0;0;;;;7038;;;;;;;
Inversor;7038;15;16;U16;String 27 current;0.01;5;0;0;;;;7039;;;;;;;
Inversor;7039;15;16;U16;String 28 current;0.01;5;0;0;;;;7040;;;;;;;
Inversor;7040;15;16;U16;String 29 current;0.01;5;0;0;;;;7041;;;;;;;
Inversor;7041;15;16;U16;String 30 current;0.01;5;0;0;;;;7042;;;;;;;
Inversor;7042;15;16;U16;String 31 current;0.01;5;0;0;;;;7043;;;;;;;
Inversor;7043;15;16;U16;String 32 current;0.01;5;0;0;;;;7044;;;;;;;
